X,species,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,currently,region,status,transfer,entryDate
1,Bottlenose,Dazzle,F,a,1989,Born,1989-04-07,Marineland Florida,Betty III,Davy II,Marineland Florida,US,Alive,US,1989-04-07
2,Bottlenose,Tursi,F,a,1973,Born,1973-11-26,Dolphin Research Center,Little Bit,Mr. Gipper,Dolphin Research Center,US,Alive,US,1973-11-26
3,Bottlenose,Starbuck,M,a,1978,Born,1978-05-13,SeaWorld San Diego,Cindy (T.t. gilli),Sambo,SeaWorld Orlando,US,Alive,US,1978-05-13
6,Bottlenose,Nacha,F,a,1980,Born,1980-10-10,SeaWorld San Diego,Notchfin,Jethro (T.t. gilli),SeaWorld San Antonio,US,Alive,US,1980-10-10
7,Bottlenose,Kama,M,a,1981,Born,1981-03-27,SeaWorld San Diego,Jiffy,Jethro (T.t. gilli),U.S. Navy,US,Alive,US,1981-03-27
9,Bottlenose,Duffy,M,a,1982,Born,1982-10-16,SeaWorld San Diego,Priscilla,Clicker,Theater of the Sea,US,Alive,US,1982-10-16
10,Bottlenose,Astra,F,a,1983,Born,1983-03-07,SeaWorld San Diego,Cindy,Clicker,Discovery Cove,US,Alive,US,1983-03-07
11,Bottlenose,Sunny,M,a,1984,Born,1984-01-12,Marineland Florida,Nellie,Rusty (blonde),Marineland Florida,US,Alive,US,1984-01-12
12,Bottlenose,Yoyo,F,a,1984,Born,1984-03-06,SeaWorld San Diego,Maggie,Gouda,SeaWorld San Antonio,US,Alive,US,1984-03-06
13,Bottlenose,Phil,M,a,1984,Born,1984-08-12,SeaWorld Orlando,Tanya,Ralph,SeaWorld Orlando,US,Alive,US,1984-08-12
14,Bottlenose,Merina,F,a,1984,Born,1984-11-21,Dolphin Research Center,Bee,Delphi,Dolphin Research Center,US,Alive,US,1984-11-21
15,Bottlenose,Aleta,F,a,1984,Born,1984-12-21,Dolphin Research Center,Misty,Delphi,Dolphin Research Center,US,Alive,US,1984-12-21
16,Bottlenose,Santini,F,a,1986,Born,1986-11-30,Dolphin Research Center,Theresa,Delphi,Dolphin Research Center,US,Alive,US,1986-11-30
17,Bottlenose,Allie,F,a,1987,Born,1987-04-01,Dolphin Connection,April,Merlin,Brookfield Zoo,US,Alive,US,1987-04-01
18,Bottlenose,Dottie,F,a,1987,Born,1987-04-26,SeaWorld Orlando,Darla,Ralph,SeaWorld San Diego,US,Alive,US,1987-04-26
19,Bottlenose,Clyde,M,a,1988,Born,1988-03-16,SeaWorld Orlando, Bonnie,Ralph,SeaWorld Orlando,US,Alive,US,1988-03-16
20,Bottlenose,Sparky,M,a,1988,Born,1988-04-08,SeaWorld San Diego,Sharkey,Semo,U.S. Navy,US,Alive,US,1988-04-08
21,Bottlenose,A.J.,M,a,1988,Born,1988-05-23,Dolphin Research Center,Aphrodite,Joe,Dolphin Research Center,US,Alive,US,1988-05-23
22,Killer Whale; Orca,Orkid,F,a,1988,Born,1988-09-23,SeaWorld San Diego,Kandu V,Orky II,SeaWorld San Diego,US,Alive,US,1988-09-23
23,Killer Whale; Orca,Kayla,F,a,1988,Born,1988-11-26,SeaWorld San Antonio,Kenau,Orky II,SeaWorld Orlando,US,Alive,US,1988-11-26
24,Bottlenose,Razzle,M,a,1989,Born,1989-04-06,Marineland Florida,Mary,Davy II,SeaWorld San Diego,US,Alive,US,1989-04-06
25,Bottlenose,Belle,M,a,1989,Born,1989-08-16,SeaWorld San Antonio,Alice,Guy,SeaWorld San Diego,US,Alive,US,1989-08-16
26,Bottlenose,Melanie,F,a,1989,Born,1989-08-26,SeaWorld San Diego,Scarback,Jethro (T.t. gilli),SeaWorld San Diego,US,Alive,US,1989-08-26
27,Bottlenose,Tasha,F,a,1990,Born,1990-02-15,SeaWorld Aurora,Astra,Domino,SeaWorld Orlando,US,Alive,US,1990-02-15
28,Bottlenose,Bubba,M,a,1990,Born,1990-04-04,SeaWorld San Diego,Sandy (Bubbles),Crunch,SeaWorld Orlando,US,Alive,US,1990-04-04
29,Bottlenose,Steime,F,a,1990,Born,1990-04-08,SeaWorld Orlando,Spanky,Ralph,SeaWorld San Diego,US,Alive,US,1990-04-08
30,Bottlenose,Talon,M,a,1990,Born,1990-06-08,Dolphin Research Center,Tursi,Delphi,Dolphin Research Center,US,Alive,US,1990-06-08
31,Bottlenose,Baretta,M,a,1990,Born,1990-08-13,SeaWorld San Diego,Cometta,Kai (T.t. gilli),SeaWorld Orlando,US,Alive,US,1990-08-13
32,Bottlenose,Roxy,F,a,1990,Born,1990-08-26,Marineland Florida,Pebbles,Chubby,Marineland Florida,US,Alive,US,1990-08-26
33,Killer Whale; Orca,Shouka,F,a,1990,Born,1993-02-25,Marineland Antibes,Sharkan,Kim II,SeaWorld San Diego,US,Alive,US,1993-02-25
34,Bottlenose,Hoku,M,a,1991,Born,1991-03-30,Kahala Hilton Oahu,Iwa,Maka,Dolphin Quest Oahu,US,Alive,US,1991-03-30
35,Bottlenose,Latoya,F,a,1991,Born,1991-05-20,SeaWorld Orlando,Tanya,Ralph,Discovery Cove,US,Alive,US,1991-05-20
36,Bottlenose,Thelma,F,a,1991,Born,1991-05-23,SeaWorld Orlando,Louise,Ralph,Discovery Cove,US,Alive,US,1991-05-23
37,Killer Whale; Orca,Takara,F,a,1991,Born,1991-07-09,SeaWorld San Diego,Kasatka,Kotar,SeaWorld San Antonio,US,Alive,US,1991-07-09
38,Killer Whale; Orca,Kyuquot,M,a,1991,Born,1991-12-24,Sealand of the Pacific,Haida II,Tilikum,SeaWorld San Antonio,US,Alive,US,1991-12-24
40,Bottlenose,Khyber,M,a,1992,Born,1992-04-05,Dolphin Connection,April,Pepper,EPCOT The Seas,US,Alive,US,1992-04-05
41,Bottlenose,Shadow,M,a,1992,Born,1992-07-23,Minnesota Zoo,Rio,Semo,Texas State Aquarium,US,Alive,US,1992-07-23
